0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:11 +0800] "GET /MSC/teacher_cho_del.jsp HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:12 +0800] "GET /MSC/teacher_sub.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:12 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:13 +0800] "GET /MSC/teacher_sel.jsp HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:13 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:15 +0800] "GET /MSC/teacher_sel_self.jsp?tid=1001 HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:17 +0800] "GET /MSC/teacher_sel_self_coul.jsp?cno=2001 HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:19 +0800] "GET /MSC/teacher_sel_other.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:23 +0800] "POST /MSC/teacher_sel_other_rs.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:25 +0800] "GET /MSC/teacher_sel_other.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:33:58 +0800] "POST /MSC/teacher_sel_other_rs.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:34:48 +0800] "GET /MSC/teacher_menu.jsp HTTP/1.1" 200 2099
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:35:00 +0800] "POST /MSC/menu_slt?id=1001&kind=teacher HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:35:00 +0800] "GET /MSC/image/f.png HTTP/1.1" 200 2971
